delm_chunk_id,delm_batch_id,delm_text_chunk,delm_extracted_data_json,delm_errors
4,0,"================================================================================
Conference Call Participants
================================================================================
   *  Duncan Scott McIntosh
      Johnson Rice &amp; Company, L.L.C., Research Division - Research Analyst
   *  Gail Amanda Nicholson Dodds
      Stephens Inc., Research Division - MD &amp; Analyst
   *  John Marshall White
      ROTH Capital Partners, LLC, Research Division - MD &amp; Senior Research Analyst
   *  Neal David Dingmann
      Truist Securities, Inc., Research Division - MD
   *  Noel Augustus Parks
      Tuohy Brothers Investment Research, Inc. - MD of CleanTech and E&amp;P
   *  Scott Michael Hanold
      RBC Capital Markets, Research Division - MD of Energy Research &amp; Analyst",{},
8,0,"Robert J. Anderson,  Earthstone Energy, Inc. - CEO &amp; President: Thank you, Scott, and good morning, everyone. We appreciate you joining us for our fourth quarter and year-end 2020 conference call. 2020 certainly presented many unexpected challenges, but our solid results are evidence of the strength and resiliency of Earthstone. We achieved a 14% increase in production in 2020 despite a 68% reduction in capital expenditures from the prior year, with average daily volumes exceeding our production guidance by about 6%. Although oil prices declined dramatically in 2020, our strong commodity hedge position helped us keep adjusted EBITDAX essentially flat with 2019 and generated over $72 million in free cash flow, providing us the ability to reducing our outstanding debt by nearly 1/3. We delivered on our 2020 goal of reducing our leverage ratio to below 1x adjusted EBITDAX, coming in at about 0.8x for 2020. Mark will provide some additional results for the year in a moment.
 Our strong financial position supported our ability to execute on our growth strategy of increasing scale with high-quality accretive acquisitions. I'll spend a few moments talking about the acquisition we did. This acquisition of Independence Resources Management, or IRM, which was announced in December and closed on January 7, 2021, added complementary Midland Basin assets. It increased our production and adjusted EBITDAX by approximately 50%, while having a minimal impact on leverage. The $182 million acquisition of IRM was underwritten by a strong PDP value of approximately $173 million and enhances our drilling inventory by about 70 operated drilling locations from IRM's core acreage in Midland and Ector counties to our existing drilling inventory. We expect the IRM acquisition to result in significantly increased production in 2021 with very minimal incremental general and administrative costs, allowing us to continue to achieve high margins in our operations with the benefit of added scale.
 A large majority of IRM's production comes from its core acreage in the Spanish Pearl project area in Midland and Ector counties. The approximately 4,900 net acres there are located in well-delineated areas with existing producing wells on all sides from various operators and further derisked by IRM's own development on the acreage, which is about 93% operated and 100% held by production. The Spanish Pearl locations compete for capital with our Midland and Upton County inventory, where we estimate IRRs ranging from 70% to 90% on a 10,000-foot lateral based on $50 oil and $2.5 gas flat for life. Integration of the assets has gone well and is a complement to both our folks at Earthstone and the IRM team. We are pleased with how smoothly the integration has gone and are fortunate to have been able to retain the large majority of IRM's field personnel. And for those of you in the field from IRM listening today, welcome aboard.
 We should start to see the results of deploying our operating approach to the IRM assets by midyear, which we expect will result in some improvements on the operating efficiency and cost side. We are also looking forward to including IRM assets in our 2021 drilling program and seeing those results in the near term.
 In terms of our 2021 capital plan that we have previously outlined, the 1-rig program will be funded well within our expected operating cash flow, resulting in significant free cash flow. We will continue to pay down debt while considering options for a second rig. Beyond our drilling and completion plans, we continue to be focused on adding additional scale through acquisitions while maintaining our financial discipline.
 Now I'm going to turn the call over to Steve Collins to provide an update on operations. Some of you on the call today know Steve and that he manages all of our operations. Steve has been with us at Earthstone and predecessor companies and has worked with Frank and me for over 25 years. Not today either, Steve or myself, but actually, we worked together as field engineers in the early 1990s. So with a long history working together, I'm happy to have him join us today. So Steve, (inaudible).","{""commodity_prices"": [{""good"": ""oil"", ""good_subtype"": null, ""price_expectation"": true, ""price_lower"": 50.0, ""price_upper"": 50.0, ""unit"": ""per barrel"", ""currency"": ""USD"", ""horizon"": ""2021""}, {""good"": ""gas"", ""good_subtype"": null, ""price_expectation"": true, ""price_lower"": 2.5, ""price_upper"": 2.5, ""unit"": ""per unit"", ""currency"": ""USD"", ""horizon"": ""2021""}]}",
9,0,"Steven C. Collins,  Earthstone Energy, Inc. - EVP of Completions &amp; Operations: Thanks, Robert. I'm glad to be on the call. In the fourth quarter, we began completing wells we had drilled but not yet completed when we paused our 2020 drilling program last spring. In December, we completed the 6 wells in our Ratliff project in Upton County, in which we hold 100% working interest. I won't rehash production results since we released that with our operations update in January, but we're very pleased with the performance of these wells.
 We exited 2020 with 5 wells still awaiting completion, which are on our Hamman 30 Unit, also located in Upton County. We have finished completion activities and expect to turn these 5 gross/3.7 net wells to sales in the next week or so. We've also resumed our drilling program. With the rig, beginning drilling operations in the past week on a 3-well pad in our Hamman Midland County project, where we plan to drill 1 well in each of the Jo Mill, Lower Spraberry, Wolfcamp B Upper reservoirs. We will then move the rig to the acreage that we recently acquired from IRM, drilling a 4-well pad in the Spanish Pearl project also in Midland County.
 Our full year 2021 capital expenditure plan anticipates that we will drill 16 gross/14.8 net operated wells and spud an additional 5 gross or 3.7 net operated wells. Including the 5 gross wells in Upton County that will be turned to sales next week, we anticipate turning to sales a total of 16 gross or 13.5 net operated wells in 2021. Throughout 2020, we continue to focus on cost management and driving down operating costs, with 2020 lease operating expenses averaging just $5.21 per BOE for the year. With the addition of the IRM assets, we anticipate a modest increase in LOE in 2021, but we'll remain acutely focused on cost management throughout the year. We will incorporate some of our operating philosophies and artificial lift changes, like moving from electric submersible pumps to gas lift, which should reduce operating costs in the long term. The enhanced scale of our operating business should also help drive some cost savings over time as we consolidate service providers.
 Now let me address the impact of the extreme weather  winter weather we had in February. As other operators experienced, everybody experienced, the harsh weather and loss of power caused significant disruptions in our operations. I'm happy to say that the large majority of our oil production was back online in 4 or 5 days, and operations are now back to normal with no permanent impacts. Once we gather all the sales numbers, we expect that February will be down about 25% from our plan.
 I'll now turn the call over to Mark to review the financials. Mark?","{""commodity_prices"": [{""good"": ""lease operating expenses"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": 5.21, ""price_upper"": 5.21, ""unit"": ""per BOE"", ""currency"": ""USD"", ""horizon"": ""full year 2020""}]}",
10,0,"Mark Lumpkin,  Earthstone Energy, Inc. - Executive VP &amp; CFO: Yes. Thank you, Steve. Good morning. I'm going to start with a recap of our balance sheet and liquidity. We generated $8.4 million of free cash flow in the fourth quarter, which brought us to $72.2 million of free cash flow for the year. As you all know, we've been focused on paying down debt with our free cash flow. With another $15 million of debt reduction in the fourth quarter, for the year, we reduced debt by 32% from $170 million to $150 million at year-end, and our debt-to-adjusted EBITDAX ratio was similarly improved, decreasing from 1.2x at year-end 2019 to 0.8x in 2020. As Robert mentioned, we did close the IRM transaction in early January. So when adjusted to include the debt related to the IRM acquisition, we had an estimated $245 million in net debt outstanding at year-end, with the borrowing base of $360 million and total liquidity of approximately $115 million.
 With combined Earthstone plus IRM 2020 EBITDAX of $223 million, leverage as measured by total debt-to-adjusted EBITDAX at year-end would have been 1.2x. As of March 1, we had reduced our net debt by approximately $27 million compared to the $245 million of year-end net debt adjusted for IRM, which also increased our liquidity by $27 million. While we won't necessarily pay down more net debt in the first quarter as the impacts of operational downtime in February impacts cash flow, we do anticipate continued paydown of debt throughout the year. Our accrued capital expenditures totaled about $20.3 million in the fourth quarter and $66.8 million for the year, which was slightly below the midpoint of our 2020 guidance. This represents a 68% reduction in capital expenditures on a year-over-year basis as we drastically cut capital expenditures amidst the oil price collapse last spring, as you all know.
 As detailed in our previously released guidance, we expect to spend $90 million to $100 million in total capital expenditures this year, utilizing the 1 rig that we recently deployed. Based on this spending plan, we believe we will generate significant free cash flow and intend for the primary use of that significant free cash flow to be debt repayment.
 Now looking at our income statement, let's start with the top line. Total revenues in the fourth quarter of 2020 were $36.7 million. Our average price in the fourth quarter was $26.92 per barrel of oil equivalent. By commodity, our average realized price for crude oil in the fourth quarter was $41.43 per barrel. Natural gas averaged $1.65 per Mcf and NGLs averaged $17.18 per barrel. For the year, our average price per BOE was $25.85. Fortunately, with our hedging strategy, we also realized just over $17 per barrel of oil produced in 2020, and that amounts to just over $10 per barrel of oil equivalent when including all components of our production.
 From a production standpoint, our fourth quarter sales volume averaged 14,809 barrels of oil equivalent per day, which was comprised of 48% oil, 28% natural gas and the remaining 24% from NGLs. As Steve mentioned, we did bring on 6 new wells near year-end, and they did not contribute meaningful to the fourth quarter. For the full year of 2020, average daily sales volumes increased 14% compared to 2019, up to 15,276 BOE per day, which exceeded our production guidance by 6%. On the expense side, on a per unit basis, our all-in fourth quarter cash cost, which includes lease operating expense, production and severance tax, cash G&amp;A and interest expense came in at $12.2 per barrel of oil equivalent and $11.08 for the full year. Our lease operating expense came in at $5.26 per BOE in the fourth quarter and for the full year averaged $5.21 per BOE, which was well below our guidance range of $5.25 to $5.50 per BOE.
 On the general and administrative side, our adjusted per unit cash G&amp;A expense was $4.57 per BOE in the fourth quarter, bringing cash G&amp;A expense through the year to $3.25 per BOE. The lumpiness in our fourth quarter cash G&amp;A is largely a result of awarding cash incentive compensation in the fourth quarter due to successfully achieving our 2020 operating results compared to a typical year in which we would accrue awards more evenly throughout the year. As aside on G&amp;A, with continued reductions in our cash G&amp;A, the $18.2 million in 2020 is the lowest we've reported since 2016, when we were a much smaller company with no Midland Basin operations and produced less than 5,000 BOE per day, so less than 1/3 of our current production.
 The continued reduction in cash G&amp;A and growth in production have allowed us to continually improve our cost structure, reducing cash G&amp;A per BOE by 54% from over $7 in 2017 to the $3.25 per BOE in 2020. With the acquisition of IRM and our continued focus on managing cost and very little incremental G&amp;A related to the Independence  or IRM acquisition, we do expect to continue to lower our per unit cash G&amp;A cost in 2021 to an implied $2.77 per BOE at the midpoint of our guidance. And like we do in all aspects of our business, we continue to focus on improving our cost structure and our margins. So while we've made good progress, we're not done yet.
 From an income standpoint, we reported GAAP net loss in the fourth quarter of $18.4 million or a loss of $0.28 per year, which included an unrealized loss of $21.6 million on our derivative contracts. Our adjusted net income was a profit of $5.5 million or $0.08 per diluted share in the fourth quarter. For the full year 2020, we reported a GAAP loss of $29.4 million or a loss of $0.02 per share and adjusted net income for the full year was a profit of $29.7 million or a profit of $0.46 per diluted share. We reported adjusted EBITDAX of $29.8 million in the fourth quarter, bringing full year 2020 EBITDAX to $144.3 million, which was down only 1% from 2019 despite oil prices dropping by 31% and our CapEx being reduced by more than 2/3.
 As is our practice, we remain well hedged for 2021, with swaps on approximately 85% of the midpoint of our oil guidance and on approximately 71% of the midpoint of our guidance for gas at average prices for oil of a little bit over $48 on a WTI basis, plus a little bit of positive differential and $2.81 for gas. We have also been chipping away at our 2022 hedge program and expect to do so over the course of this year.
 Going back to our production levels and the impact of the winter weather. As Steve mentioned, our production was clearly impacted, and we estimate the impact to be roughly 25% of volumes in February, which will obviously impact our first quarter results. From a full year standpoint, we think this is roughly a 2.5% impact on production for the year or about 500 barrels of oil equivalent for the year. Given that our production guidance includes a plus or minus 750 BOE range from the midpoint, we are not adjusting our production guidance at this time, but this impact will clearly bias more toward the lower end of the production range. With that, I'll turn it back to Robert.","{""commodity_prices"": [{""good"": ""oil"", ""good_subtype"": ""crude oil"", ""price_expectation"": false, ""price_lower"": 41.43, ""price_upper"": 41.43, ""unit"": ""per barrel"", ""currency"": ""USD"", ""horizon"": ""Q4 2020""}, {""good"": ""natural gas"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": 1.65, ""price_upper"": 1.65, ""unit"": ""per Mcf"", ""currency"": ""USD"", ""horizon"": ""Q4 2020""}, {""good"": ""NGLs"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": 17.18, ""price_upper"": 17.18, ""unit"": ""per barrel"", ""currency"": ""USD"", ""horizon"": ""Q4 2020""}, {""good"": ""oil"", ""good_subtype"": ""oil equivalent"", ""price_expectation"": false, ""price_lower"": 26.92, ""price_upper"": 26.92, ""unit"": ""per barrel"", ""currency"": ""USD"", ""horizon"": ""Q4 2020""}, {""good"": ""oil"", ""good_subtype"": ""oil"", ""price_expectation"": false, ""price_lower"": 17.0, ""price_upper"": 17.0, ""unit"": ""per barrel"", ""currency"": ""USD"", ""horizon"": ""2020""}, {""good"": ""oil"", ""good_subtype"": ""oil equivalent"", ""price_expectation"": false, ""price_lower"": 10.0, ""price_upper"": 10.0, ""unit"": ""per barrel"", ""currency"": ""USD"", ""horizon"": ""2020""}, {""good"": ""oil"", ""good_subtype"": ""oil"", ""price_expectation"": true, ""price_lower"": 48.0, ""price_upper"": 48.0, ""unit"": ""per barrel"", ""currency"": ""USD"", ""horizon"": ""2021""}, {""good"": ""gas"", ""good_subtype"": null, ""price_expectation"": true, ""price_lower"": 2.81, ""price_upper"": 2.81, ""unit"": ""per Mcf"", ""currency"": ""USD"", ""horizon"": ""2021""}]}",
11,0,"Robert J. Anderson,  Earthstone Energy, Inc. - CEO &amp; President: Thanks, Mark. A lot of information we provided both yesterday in our press release in our K and today this morning. As you can tell, 2021 has gotten off to a strong start for us. We are super excited about the additional scale and the drilling opportunities as a result of the IRM acquisition. But as you can tell, we are just getting started, and we have a great platform for continued growth. Earthstone is well positioned with a good inventory of high-margin, low-cost drilling. And while we are pleased to see a more attractive commodity price environment emerge, we remain focused on a 1-rig program for now, but continue to consider whether adding a second rig to the now larger combined asset base will make sense later this year.
 We're very optimistic about 2021 and the future. We believe our operating plan, which is directed towards areas with the highest drilling returns will generate significant free cash flow during the year. We remain focused on maintaining a strong balance sheet and reducing debt with this free cash flow. However, with the IRM assets fully integrated, we continue to seek additional acquisition opportunities that create further scale and complement our low-cost, high-margin operations. Our focus remains committed on creating shareholder value in everything we do, and we will continue to look at consolidation opportunities through that lens.
 Now with all that, operator, we'll be glad to take some questions.
================================================================================
Questions and Answers","{""commodity_prices"": [{""good"": ""oil"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""barrel"", ""currency"": ""USD"", ""horizon"": null}, {""good"": ""natural gas"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""MMBtu"", ""currency"": ""USD"", ""horizon"": null}]}",
13,0,"Neal David Dingmann,  Truist Securities, Inc., Research Division - MD: Robert, my question is, first, just on something you had just mentioned. You smartly mentioned about the potential, obviously, with prices today. And your pristine balance sheet about potentially adding a second rig. I'm just wondering how do you and Steve and Mark, the guys think about the optimal  when you're looking at this and thinking about the optimal level, is it just purely with prices and what level would give you the best free cash flow? Is it a combination of what  1 or 2 rigs, what's going to give you the best combination of sort of production and free cash flow growth? Just wondering when you think about optimal level, what are you all sort of thinking about?",{},
19,0,"Neal David Dingmann,  Truist Securities, Inc., Research Division - MD: Absolutely. And then if I could sneak one last one. And I just can't help but notice on Slide 16. For the Eagle Ford, you all show the 0 drilling locations there. There seems to be a big market out there right now for production cash flow. As I mentioned earlier, you certainly have a pristine balance sheet, don't need to sell anything, but is this consideration in the Eagle Ford?",{},
21,0,Operator: Next question comes from Scott Hanold with RBC Capital Markets.,"{""commodity_prices"": [{""good"": ""oil"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": 70.0, ""price_upper"": 75.0, ""unit"": ""per barrel"", ""currency"": ""USD"", ""horizon"": null}, {""good"": ""natural gas"", ""good_subtype"": null, ""price_expectation"": true, ""price_lower"": 3.0, ""price_upper"": 4.0, ""unit"": ""per MMBtu"", ""currency"": ""USD"", ""horizon"": ""Q1 2024""}]}",
22,0,"Scott Michael Hanold,  RBC Capital Markets, Research Division - MD of Energy Research &amp; Analyst: You all obviously have a history of looking at accretive deals, and it's certainly been a pronounced part of your discussion here in your prepared comments. Can you just give us a sense of like, given what we've seen in the move in oil prices and even some of these equity valuations, like how do you look at it right now? Is there  when you look at some of these private opportunities out there, is there more or less interest today? And how do you all think about using your stock as currency?",{},
23,0,"Robert J. Anderson,  Earthstone Energy, Inc. - CEO &amp; President: Yes. Good question, Scott. So we think that there is a pipeline of opportunities out there in various basins that we're focused on, both public and private. I think you're going to see some of the public guys start to sell off noncore assets, which we will review and maybe participate in processes, but we'll continue to talk with private guys who recognize that scale is important. The cash they take today is good, but maybe they want to ride some of the upside. And so we'll use equity and cash. And we're going to continue to focus on each deal separately in terms of the structure of how we do that, whether  we want to make sure we don't get over-levered and each deal looks a little different and the cash flow profile probably has some impact on what kind of leverage we end up with a deal. So I think  I don't think that our playbook changes much as prices improve and  because I think there's still an opportunity to continue to consolidate.","{""commodity_prices"": [{""good"": ""oil"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""per barrel"", ""currency"": ""USD"", ""horizon"": null}]}",
